[2026-04-22 21:10:00] Distancia: 762m | Esquivados: 31 | Destruidos: 3
[2026-04-22 21:10:21] Distancia: 832m | Esquivados: 16 | Destruidos: 11
[2026-04-22 21:10:42] Distancia: 1149m | Esquivados: 38 | Destruidos: 6
[2026-04-22 21:10:49] Distancia: 194m | Esquivados: 8 | Destruidos: 2
[2026-04-22 21:11:09] Distancia: 1134m | Esquivados: 28 | Destruidos: 4
[2026-04-22 21:11:41] Distancia: 711m | Esquivados: 27 | Destruidos: 1
[2026-04-22 21:12:28] Distancia: 286m | Esquivados: 9 | Destruidos: 2
[2026-04-22 21:12:40] Distancia: 467m | Esquivados: 18 | Destruidos: 0
[2026-04-22 21:12:48] Distancia: 253m | Esquivados: 15 | Destruidos: 0
[2026-04-22 21:13:03] Distancia: 676m | Esquivados: 30 | Destruidos: 0
[2026-04-22 21:13:18] Distancia: 602m | Esquivados: 30 | Destruidos: 0
[2026-04-22 21:13:37] Distancia: 963m | Esquivados: 29 | Destruidos: 0
[2026-04-22 21:13:50] Distancia: 521m | Esquivados: 24 | Destruidos: 0
[2026-04-22 21:14:06] Distancia: 742m | Esquivados: 29 | Destruidos: 0
[2026-04-22 21:14:20] Distancia: 534m | Esquivados: 21 | Destruidos: 0
[2026-04-22 21:14:41] Distancia: 829m | Esquivados: 38 | Destruidos: 0
[2026-04-22 21:14:56] Distancia: 665m | Esquivados: 20 | Destruidos: 0
[2026-04-22 21:15:16] Distancia: 1174m | Esquivados: 34 | Destruidos: 0
[2026-04-22 21:17:59] Distancia: 957m | Esquivados: 35 | Destruidos: 0
[2026-04-22 21:18:22] Distancia: 1227m | Esquivados: 46 | Destruidos: 0
[2026-04-22 21:18:44] Distancia: 1110m | Esquivados: 37 | Destruidos: 4
[2026-04-22 21:19:03] Distancia: 938m | Esquivados: 26 | Destruidos: 4
[2026-04-22 21:19:26] Distancia: 1504m | Esquivados: 53 | Destruidos: 2
[2026-04-22 21:19:41] Distancia: 619m | Esquivados: 20 | Destruidos: 2
[2026-04-22 21:19:58] Distancia: 773m | Esquivados: 34 | Destruidos: 0
[2026-04-22 21:20:12] Distancia: 599m | Esquivados: 25 | Destruidos: 0
[2026-04-22 21:20:32] Distancia: 177m | Esquivados: 5 | Destruidos: 2
[2026-04-22 21:20:34] Distancia: 32m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:20:37] Distancia: 65m | Esquivados: 1 | Destruidos: 0
[2026-04-22 21:20:55] Distancia: 979m | Esquivados: 38 | Destruidos: 0
[2026-04-22 21:21:08] Distancia: 557m | Esquivados: 21 | Destruidos: 0
[2026-04-22 21:21:29] Distancia: 1129m | Esquivados: 26 | Destruidos: 7
[2026-04-22 21:21:41] Distancia: 486m | Esquivados: 18 | Destruidos: 4
[2026-04-22 21:21:54] Distancia: 178m | Esquivados: 8 | Destruidos: 3
[2026-04-22 21:23:16] Distancia: 117m | Esquivados: 4 | Destruidos: 0
[2026-04-22 21:23:20] Distancia: 53m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:23:25] Distancia: 94m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:23:39] Distancia: 55m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:23:59] Distancia: 803m | Esquivados: 19 | Destruidos: 11
[2026-04-22 21:24:25] Distancia: 47m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:24:30] Distancia: 44m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:24:59] Distancia: 141m | Esquivados: 2 | Destruidos: 0
[2026-04-22 21:26:11] Distancia: 58m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:27:38] Distancia: 39m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:27:41] Distancia: 26m | Esquivados: 0 | Destruidos: 0
[2026-04-22 21:27:45] Distancia: 110m | Esquivados: 3 | Destruidos: 0
[2026-04-22 21:27:49] Distancia: 68m | Esquivados: 1 | Destruidos: 0
[2026-04-22 21:27:53] Distancia: 90m | Esquivados: 1 | Destruidos: 0
[2026-04-22 21:27:57] Distancia: 112m | Esquivados: 1 | Destruidos: 0
